Test,Bubble Sort,Selection Sort,Insertion Sort,Bucket Sort,Merge Sort
80,6.592391014099121,2.6510469913482666,2.6962320804595947,0.004869699478149414,0.023755550384521484
81,6.365514755249023,2.684272527694702,2.8138933181762695,0.004906177520751953,0.024450063705444336
82,6.301648139953613,2.826159954071045,2.7276577949523926,0.005215644836425781,0.03328514099121094
83,6.485512971878052,2.845351457595825,2.6746840476989746,0.00524449348449707,0.02471470832824707
84,6.315240383148193,2.7938244342803955,2.7268691062927246,0.014469146728515625,0.026215076446533203
85,6.421064615249634,2.793213129043579,2.78452205657959,0.005235433578491211,0.02525496482849121
86,6.448516607284546,2.7579939365386963,2.793628692626953,0.004921913146972656,0.024442195892333984
87,6.470094680786133,2.8365159034729004,2.6226322650909424,0.009779691696166992,0.030785322189331055
88,6.531463623046875,2.808497667312622,2.666144847869873,0.005141258239746094,0.025059938430786133
89,6.416256427764893,2.770603895187378,2.8629534244537354,0.005334615707397461,0.025185585021972656
90,6.490179538726807,2.7796366214752197,2.6935389041900635,0.005238056182861328,0.025272130966186523
91,6.596591472625732,2.8148000240325928,2.778165102005005,0.005196571350097656,0.025583267211914062
92,6.534350156784058,2.8208816051483154,2.6797521114349365,0.005177021026611328,0.025563478469848633
93,6.358141660690308,2.739196538925171,2.7259700298309326,0.005506277084350586,0.0245668888092041
94,6.467801809310913,2.691358804702759,2.779907703399658,0.013901472091674805,0.02530813217163086
95,6.38469672203064,2.7698230743408203,2.7572522163391113,0.004927635192871094,0.024624347686767578
96,6.461588382720947,2.853632688522339,2.796905994415283,0.005335569381713867,0.02556610107421875
97,6.444500207901001,2.8987395763397217,2.7845687866210938,0.0051059722900390625,0.024511337280273438
98,6.463256120681763,2.8922624588012695,2.8930861949920654,0.005168914794921875,0.025509357452392578
99,6.346529245376587,2.8128490447998047,2.7519102096557617,0.005270242691040039,0.024681568145751953
100,6.2973291873931885,2.8426060676574707,2.713169813156128,0.0052814483642578125,0.026063919067382812
101,6.529887437820435,2.899660110473633,2.8339004516601562,0.005329132080078125,0.025523662567138672
102,7.595805406570435,2.7551562786102295,2.673578977584839,0.005975961685180664,0.02493882179260254
103,6.394615888595581,2.768122911453247,2.721658706665039,0.01442575454711914,0.025120019912719727
104,6.656224489212036,2.9211201667785645,2.7260141372680664,0.005506753921508789,0.025449752807617188
105,8.140120029449463,2.967827558517456,2.808107852935791,0.0048427581787109375,0.02407073974609375
106,6.360332250595093,2.713804006576538,2.7200565338134766,0.008231878280639648,0.026294469833374023
107,6.380940198898315,2.858430862426758,2.7110652923583984,0.004846334457397461,0.024008989334106445
108,6.489144563674927,2.8877902030944824,2.7302236557006836,0.00505375862121582,0.02622842788696289
109,7.204174757003784,2.7846949100494385,2.7414438724517822,0.005343437194824219,0.025234699249267578
110,6.428933382034302,2.9752817153930664,2.7974867820739746,0.008619308471679688,0.03309822082519531
111,6.3947460651397705,2.889540672302246,2.650311231613159,0.005175590515136719,0.024799108505249023
